,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
36,Monaco ,WESTERN EUROPE                     ,32543,2,16271.5,205.0,7.75,5.43,27000.0,99.0,1035.6,0.0,0.0,100.0,,9.19,12.91,0.17,,
18,Gibraltar ,WESTERN EUROPE                     ,27928,7,3989.7,171.43,0.0,5.13,17500.0,,877.7,0.0,0.0,100.0,,10.74,9.31,,,
34,Malta ,WESTERN EUROPE                     ,400214,316,1266.5,62.28,2.07,3.89,17700.0,92.8,505.0,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74
20,Guernsey ,WESTERN EUROPE                     ,65409,78,838.6,64.1,3.84,4.71,20000.0,,842.4,,,,3.0,8.81,10.01,0.03,0.1,0.87
26,Jersey ,WESTERN EUROPE                     ,91084,116,785.2,60.34,2.76,5.24,24800.0,,811.3,0.0,0.0,100.0,3.0,9.3,9.28,0.05,0.02,0.93
43,San Marino ,WESTERN EUROPE                     ,29251,61,479.5,0.0,10.98,5.73,34600.0,96.0,704.3,16.67,0.0,83.33,,10.02,8.17,,,
37,Netherlands ,WESTERN EUROPE                     ,16491461,41526,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.97,72.32,3.0,10.9,8.68,0.021,0.244,0.736
6,Belgium ,WESTERN EUROPE                     ,10379067,30528,340.0,0.22,1.23,4.68,29100.0,98.0,462.6,23.28,0.4,76.32,3.0,10.38,10.27,0.01,0.24,0.749
53,United Kingdom ,WESTERN EUROPE                     ,60609153,244820,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,23.46,0.21,76.33,3.0,10.71,10.13,0.005,0.237,0.758
17,Germany ,WESTERN EUROPE                     ,82422299,357021,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,33.85,0.59,65.56,3.0,8.25,10.62,0.009,0.296,0.695
30,Liechtenstein ,WESTERN EUROPE                     ,33987,160,212.4,0.0,4.85,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,4.0,10.21,7.18,0.06,0.39,0.55
25,Italy ,WESTERN EUROPE                     ,58133509,301230,193.0,2.52,2.07,5.94,26700.0,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688
32,Luxembourg ,WESTERN EUROPE                     ,474413,2586,183.5,0.0,8.97,4.81,55100.0,100.0,515.4,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86
49,Switzerland ,WESTERN EUROPE                     ,7523934,41290,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.61,88.97,3.0,9.71,8.49,0.015,0.34,0.645
1,Andorra ,WESTERN EUROPE                     ,71201,468,152.1,0.0,6.6,4.05,19000.0,100.0,497.2,2.22,0.0,97.78,3.0,8.71,6.25,,,
35,Moldova ,C.W. OF IND. STATES ,4466706,33843,132.0,0.0,-0.26,40.42,1800.0,99.1,208.1,55.3,10.79,33.91,,15.7,12.64,0.213,0.233,0.555
24,Isle of Man ,WESTERN EUROPE                     ,75441,572,131.9,27.97,5.36,5.93,21000.0,,676.0,9.0,0.0,91.0,3.0,11.05,11.19,0.01,0.13,0.86
10,Czech Republic ,EASTERN EUROPE                     ,10235455,78866,129.8,0.0,0.97,3.93,15700.0,99.9,314.3,39.8,3.05,57.15,3.0,9.02,10.59,0.034,0.393,0.573
11,Denmark ,WESTERN EUROPE                     ,5450661,43094,126.5,16.97,2.48,4.56,31100.0,100.0,614.6,54.02,0.19,45.79,3.0,11.13,10.36,0.018,0.246,0.735
0,Albania ,EASTERN EUROPE                     ,3581655,28748,124.6,1.26,-4.93,21.52,4500.0,86.5,71.2,21.09,4.42,74.49,3.0,15.11,5.22,0.232,0.188,0.579
39,Poland ,EASTERN EUROPE                     ,38536869,312685,123.3,0.16,-0.49,8.51,11100.0,99.8,306.3,45.91,1.12,52.97,3.0,9.85,9.89,0.05,0.311,0.64
40,Portugal ,WESTERN EUROPE                     ,10605870,92391,114.8,1.94,3.57,5.05,18000.0,93.3,399.2,21.75,7.81,70.44,3.0,10.72,10.5,0.053,0.274,0.673
45,Slovakia ,EASTERN EUROPE                     ,5439448,48845,111.4,0.0,0.3,7.41,13300.0,,220.1,30.16,2.62,67.22,3.0,10.65,9.45,0.035,0.294,0.672
15,France ,WESTERN EUROPE                     ,60876136,547030,111.3,0.63,0.66,4.26,27600.0,99.0,586.4,33.53,2.07,64.4,4.0,11.99,9.14,0.022,0.214,0.764
21,Hungary ,EASTERN EUROPE                     ,9981334,93030,107.3,0.0,0.86,8.57,13900.0,99.4,336.2,50.09,2.06,47.85,3.0,9.72,13.11,0.037,0.312,0.651
44,Serbia ,EASTERN EUROPE                     ,9396411,88361,106.3,0.0,-1.33,12.89,2200.0,93.0,285.8,33.35,3.2,63.45,,,,0.166,0.255,0.579
2,Armenia ,C.W. OF IND. STATES ,2976372,29800,99.9,0.0,-6.47,23.28,3500.0,98.6,195.7,17.55,2.3,80.15,4.0,12.07,8.23,0.239,0.343,0.418
46,Slovenia ,EASTERN EUROPE                     ,2010347,20273,99.2,0.23,1.12,4.45,19000.0,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,0.028,0.369,0.603
3,Austria ,WESTERN EUROPE                     ,8192880,83870,97.7,0.0,2.0,4.66,30000.0,98.0,452.2,16.91,0.86,82.23,3.0,8.74,9.76,0.018,0.304,0.678
41,Romania ,EASTERN EUROPE                     ,22303552,237500,93.9,0.09,-0.13,26.43,7000.0,98.4,196.9,40.82,2.25,56.93,3.0,10.7,11.77,0.101,0.35,0.549
4,Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,91.9,0.0,-4.9,81.74,3400.0,97.0,137.1,19.63,2.71,77.66,1.0,20.74,9.75,0.141,0.457,0.402
7,Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,51129,88.0,0.04,0.31,21.05,6100.0,,215.4,13.6,2.96,83.44,4.0,8.77,8.27,0.142,0.308,0.55
19,Greece ,WESTERN EUROPE                     ,10688058,131940,81.0,10.37,2.35,5.53,20000.0,97.5,589.7,21.1,8.78,70.12,3.0,9.68,10.24,0.054,0.213,0.733
33,Macedonia ,EASTERN EUROPE                     ,2050554,25333,80.9,0.0,-1.45,10.09,6700.0,,260.0,22.26,1.81,75.93,3.0,12.02,8.77,0.118,0.319,0.563
47,Spain ,WESTERN EUROPE                     ,40397842,504782,80.0,0.98,0.99,4.42,22000.0,97.9,453.5,26.07,9.87,64.06,3.0,10.06,9.72,0.04,0.295,0.665
9,Croatia ,EASTERN EUROPE                     ,4494749,56542,79.5,10.32,1.58,6.84,10600.0,98.5,420.4,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622
52,Ukraine ,C.W. OF IND. STATES ,46710816,603700,77.4,0.46,-0.39,20.34,5400.0,99.7,259.9,56.21,1.61,42.18,3.0,8.82,14.39,0.187,0.452,0.361
16,Georgia ,C.W. OF IND. STATES ,4661473,69700,66.9,0.44,-4.7,18.59,2500.0,99.0,146.6,11.44,3.86,84.7,3.0,10.41,9.23,0.172,0.275,0.553
8,Bulgaria ,EASTERN EUROPE                     ,7385367,110910,66.6,0.32,-4.58,20.55,7600.0,98.6,336.3,40.02,1.92,58.06,3.0,9.65,14.27,0.093,0.304,0.603
54,Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,61.0,0.0,-1.72,71.1,1700.0,99.3,62.9,10.83,0.83,88.34,1.0,26.36,7.84,0.342,0.229,0.43
23,Ireland ,WESTERN EUROPE                     ,4062235,70280,57.8,2.06,4.99,5.39,29600.0,98.0,500.5,15.2,0.03,84.77,3.0,14.45,7.82,0.05,0.46,0.49
31,Lithuania ,BALTICS                            ,3585906,65200,55.0,0.14,-0.71,6.89,11400.0,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62
50,Tajikistan ,C.W. OF IND. STATES ,7320815,143100,51.2,0.0,-2.86,110.76,1000.0,99.4,33.5,6.61,0.92,92.47,2.0,32.65,8.25,0.234,0.286,0.48
5,Belarus ,C.W. OF IND. STATES ,10293011,207600,49.6,0.0,2.54,13.37,6100.0,99.6,319.1,29.55,0.6,69.85,4.0,11.16,14.02,0.093,0.316,0.591
29,Latvia ,BALTICS                            ,2274735,64589,35.2,0.82,-2.23,9.55,10200.0,99.8,321.4,29.67,0.47,69.86,3.0,9.24,13.66,0.04,0.261,0.699
13,Faroe Islands ,WESTERN EUROPE                     ,47246,1399,33.8,79.84,1.41,6.24,22000.0,,503.8,2.14,0.0,97.86,,14.05,8.7,0.27,0.11,0.62
12,Estonia ,BALTICS                            ,1324333,45226,29.3,8.39,-3.16,7.87,12300.0,99.8,333.8,16.04,0.45,83.51,3.0,10.04,13.25,0.04,0.294,0.666
28,Kyrgyzstan ,C.W. OF IND. STATES ,5213898,198500,26.3,0.0,-2.45,35.64,1600.0,97.0,84.0,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439
48,Sweden ,WESTERN EUROPE                     ,9016596,449964,20.0,0.72,1.67,2.77,26800.0,99.0,715.0,6.54,0.01,93.45,3.0,10.27,10.31,0.011,0.282,0.707
14,Finland ,WESTERN EUROPE                     ,5231372,338145,15.5,0.37,0.95,3.57,27400.0,100.0,405.3,7.19,0.03,92.78,3.0,10.45,9.86,0.028,0.295,0.676
38,Norway ,WESTERN EUROPE                     ,4610820,323802,14.2,7.77,1.74,3.7,37800.0,100.0,461.7,2.87,0.0,97.13,3.0,11.46,9.4,0.021,0.415,0.564
51,Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,10.3,0.0,-0.86,73.08,5800.0,98.0,74.6,3.72,0.14,96.14,1.0,27.61,8.6,0.209,0.38,0.411
42,Russia ,C.W. OF IND. STATES ,142893540,17075200,8.4,0.22,1.02,15.39,8900.0,99.6,280.6,7.33,0.11,92.56,,9.95,14.65,0.054,0.371,0.575
27,Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,5.6,0.0,-3.35,29.21,6300.0,98.4,164.1,7.98,0.05,91.97,4.0,16.0,9.42,0.067,0.386,0.547
22,Iceland ,WESTERN EUROPE                     ,299388,103000,2.9,4.83,2.38,3.31,30900.0,99.9,647.7,0.07,0.0,99.93,3.0,13.64,6.72,0.086,0.15,0.765
